"%name,","%name,"
"%s","%s"
"%s - %s","%s - %s"
"-- Select --","Selecione..."
"--Please select--","Selecione..."
"--Please Select--","Selecione..."
"-- Please select --","Selecione..."
"-- Please Select --","Selecione..."
"[store view]","[visão de loja]"
"(ver. %1)","(ver. %1)"
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).","<strong style=""color:red"">Atenção!</strong> Quando usar o código da loja na URL, em alguns casos o sistema pode apresentar problema se URLs sem o código forem utilizadas por sistemas de terceiros (ex. PayPal e outros)."
"* Required Fields","* Campos Obrigatórios"
"1 column","1 coluna"
"2 columns with left bar","2 colunas com menu à esquerda"
"2 columns with right bar","2 colunas com menu à direita"
"3 columns","3 colunas"
"6 Hours","6 Horas"
"10 by default. Max - 10000","10 por padrão. Max - 10000"
"12 Hours","12 Horas"
"12h AM/PM","12h AM/PM"
"24 Hours","24 Horas"
"24h","24h"
"255 by default","255 por padrão"
"=========================================================================","A"
"Abandoned Carts","Carrinhos Abandonados"
"Access Denied","Acesso Negado"
"Access Denied.","Acesso Negado."
"Access ID","ID de Acesso"
"Account","Conta"
"Account Information","Informações da Conta"
"Account Number","Número da Conta"
"Account Setting","Configurações da Conta"
"Action","Ação"
"Actions","Ações"
"Add CMS Block","Adicionar Bloco"
"Add New Customer","Novo Cliente"
"Add Product","Novo Produto"
"Add Root Category","Nova Categoria Raiz"
"Add Store Code to Urls","Adicionar Código da Loja nas URLs"
"Add Subcategory","Nova subCategoria"
"Admin Base URL","URL Base do Admin"
"Advanced","Avançado"
"Advanced Search","Busca Avançada"
"ALL","TODOS"
"ALL GROUPS","TODOS OS GRUPOS"
"All","Todos"
"All Customers","Todos os Clientes"
"All other open sessions for this account were terminated.","Todas as sessões existentes para essa mesma conta foram finalizadas."
"All Store Views","Todas as Visões de Loja"
"All Stores","Todas as Lojas"
"All Users","Todos Usuários"
"Allow Anonymous Guest Access","Permitir Acesso Anônimo"
"Allow Countries","Países Permitidos"
"Allow Gift Message","Mensagem Presente"
"Allow for Guests","Permitir Visitantes"
"Allow to Choose State if It is Optional for Country","Permitir escolha de Estado se for Opcional para o País"
